,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Lou Groza 30 yard field goal,3,0
1,2.0,Redskins,Leo Elter 5 yard rush (Sam Baker kick),3,7
2,2.0,Browns,Lou Groza 47 yard field goal,6,7
3,2.0,Browns,Lou Groza 12 yard field goal,9,7
4,3.0,Redskins,Dick James 9 yard pass from Eddie LeBaron (Sam Baker kick),9,14
5,4.0,Redskins,Sam Baker 16 yard field goal,9,17
6,4.0,Redskins,Sam Baker 32 yard field goal,9,20
