,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cardinals,Anthony Thompson 1 yard rush (Al Del Greco kick),0,7
1,2.0,Cardinals,Al Del Greco 28 yard field goal,0,10
2,3.0,Cowboys,Ken Willis 37 yard field goal,3,10
3,4.0,Cardinals,Al Del Greco 28 yard field goal,3,13
4,4.0,Cardinals,Johnny Johnson 9 yard rush (Al Del Greco kick),3,20
