,Quarter,Tm,Detail,BOS,STL
0,1.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),0,7
1,1.0,Cardinals,MacArthur Lane 25 yard rush (Jim Bakken kick),0,14
2,2.0,Cardinals,John Gilliam 26 yard pass from Jim Hart (Jim Bakken kick),0,21
3,3.0,Cardinals,Jim Bakken 43 yard field goal,0,24
4,4.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),0,31
