,Quarter,Tm,Detail,WAS,NOR
0,1.0,Redskins,Chip Lohmiller 34 yard field goal,3,0
1,2.0,Saints,Dalton Hilliard 18 yard rush (Morten Andersen kick),3,7
2,2.0,Saints,Quinn Early 5 yard pass from Bobby Hebert (Morten Andersen kick),3,14
3,3.0,Saints,Morten Andersen 43 yard field goal,3,17
4,4.0,Saints,Morten Andersen 45 yard field goal,3,20
