,Quarter,Time,Tm,Detail,IND,ARI
0,1.0,2:46,Cardinals,Neil Rackers 38 yard field goal,0,3
1,2.0,9:04,Colts,Reggie Wayne 20 yard pass from Peyton Manning (Adam Vinatieri kick),7,3
2,2.0,5:49,Colts,Dallas Clark 10 yard pass from Peyton Manning (Adam Vinatieri kick),14,3
3,2.0,1:52,Colts,Pierre Garcon 53 yard pass from Peyton Manning (Adam Vinatieri kick),21,3
4,3.0,10:50,Cardinals,Anquan Boldin 10 yard pass from Kurt Warner (Neil Rackers kick),21,10
5,3.0,2:26,Colts,Joseph Addai 3 yard pass from Peyton Manning (Adam Vinatieri kick),28,10
6,4.0,11:31,Colts,Adam Vinatieri 26 yard field goal,31,10
