,Quarter,Tm,Detail,PIT,NYG
0,1,Giants,Harry Newman 29 yard field goal,0,3
1,2,Giants,Tod Goodwin 65 yard pass from Ed Danowski (Ken Strong kick),0,10
2,4,Giants,Ken Strong 44 yard field goal,0,13
