,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Boyd Dowler 27 yard pass from Bart Starr (Don Chandler kick),0,7
1,1.0,Vikings,Tommy Mason 1 yard rush (Fred Cox kick),7,7
2,2.0,Vikings,Fred Cox 25 yard field goal,10,7
3,2.0,Vikings,Fred Cox 36 yard field goal,13,7
4,2.0,Vikings,Fred Cox 53 yard field goal,16,7
5,2.0,Packers,Elijah Pitts 3 yard rush (Don Chandler kick),16,14
6,3.0,Vikings,Fred Cox 23 yard field goal,19,14
7,3.0,Packers,Bill Anderson 27 yard pass from Zeke Bratkowski (Don Chandler kick),19,21
8,4.0,Packers,Don Chandler 25 yard field goal,19,24
