,Quarter,Tm,Detail,CIN,MIN
0,1.0,Vikings,Rich Karlis 31 yard field goal,0,3
1,1.0,Vikings,Rich Karlis 37 yard field goal,0,6
2,2.0,Vikings,Rich Karlis 22 yard field goal,0,9
3,2.0,Vikings,Rick Fenney 11 yard pass from Wade Wilson (Rich Karlis kick),0,16
4,2.0,Vikings,Rich Karlis 42 yard field goal,0,19
5,2.0,Bengals,Eddie Brown 34 yard pass from Boomer Esiason (Jim Breech kick),7,19
6,2.0,Vikings,Rich Karlis 24 yard field goal,7,22
7,3.0,Bengals,Rodney Holman 65 yard pass from Boomer Esiason (Jim Breech kick),14,22
8,4.0,Bengals,Craig Taylor 18 yard pass from Boomer Esiason (Jim Breech kick),21,22
9,4.0,Vikings,Brent Novoselsky 1 yard pass from Wade Wilson (Rich Karlis kick),21,29
