,Quarter,Tm,Detail,SDG,DEN
0,1,Broncos,Fran Lynch 1 yard pass from Steve Ramsey (Jim Turner kick),0,7
1,2,Chargers,Mike Fuller 42 yard punt return (Ray Wersching kick),7,7
2,2,Chargers,Ray Wersching 34 yard field goal,10,7
3,3,Broncos,Jim Turner 22 yard field goal,10,10
4,OT,Broncos,Jim Turner 25 yard field goal,10,13
