,Quarter,Tm,Detail,NOR,TAM
0,1.0,Buccaneers,James Wilder 2 yard rush (Bill Capece kick),0,7
1,1.0,Buccaneers,Jeremiah Castille 69 yard interception return (Bill Capece kick),0,14
2,2.0,Saints,Kelvin Clark offensive fumble recovery in end zone (Morten Andersen kick),7,14
3,2.0,Saints,Morten Andersen 50 yard field goal,10,14
4,2.0,Buccaneers,James Wilder 7 yard rush (Bill Capece kick),10,21
5,3.0,Saints,Eugene Goodlow 12 yard pass from Ken Stabler (Morten Andersen kick),17,21
6,3.0,Saints,Bobby Johnson 70 yard interception return (Morten Andersen kick),24,21
