,Quarter,Tm,Detail,DET,PIT
0,2.0,Lions,Dave Middleton 30 yard pass from Bobby Layne (Doak Walker kick),7,0
1,2.0,Lions,Lew Carpenter 34 yard pass from Harry Gilmer (Doak Walker kick),14,0
2,2.0,Steelers,Jack O'Brien 6 yard pass from Jim Finks (Tad Weed kick),14,7
3,3.0,Lions,Doak Walker 23 yard field goal,17,7
4,3.0,Lions,Doak Walker 21 yard pass from Bill Stits (Doak Walker kick),24,7
5,4.0,Steelers,Lynn Chandnois 1 yard rush (Tad Weed kick),24,14
6,4.0,Lions,Bill Stits 7 yard fumble return (Doak Walker kick),31,14
7,4.0,Steelers,Ray Mathews 47 yard pass from Ted Marchibroda (Tad Weed kick),31,21
8,4.0,Steelers,Ted Marchibroda 8 yard rush (Tad Weed kick),31,28
