,Quarter,Time,Tm,Detail,CIN,OAK
0,1.0,12:12,Raiders,Sebastian Janikowski 40 yard field goal,0,3
1,1.0,9:27,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),0,10
2,1.0,5:14,Bengals,Shayne Graham 31 yard field goal,3,10
3,2.0,11:46,Bengals,Corey Dillon 1 yard rush (Shayne Graham kick),10,10
4,3.0,8:18,Raiders,Sebastian Janikowski 26 yard field goal,10,13
5,3.0,0:30,Bengals,Shayne Graham 22 yard field goal,13,13
6,4.0,3:46,Raiders,Phillip Buchanon 83 yard interception return (Sebastian Janikowski kick),13,20
7,4.0,1:18,Bengals,Peter Warrick 8 yard pass from Jon Kitna (Shayne Graham kick),20,20
8,4.0,0:09,Raiders,Sebastian Janikowski 39 yard field goal,20,23
