,Quarter,Time,Tm,Detail,PIT,NYJ
0,1.0,0:00,Steelers,Kris Brown 43 yard field goal,3,0
1,2.0,1:40,Steelers,Jerome Bettis 12 yard rush (Kris Brown kick),10,0
2,2.0,0:00,Jets,John Hall 40 yard field goal,10,3
3,4.0,11:33,Steelers,Bobby Shaw 10 yard pass from Kordell Stewart (Kris Brown kick),17,3
4,4.0,3:01,Steelers,Kris Brown 29 yard field goal,20,3
