,Quarter,Tm,Detail,RAI,MIA
0,2.0,Raiders,Jeff Jaeger 23 yard field goal,3,0
1,2.0,Raiders,Marcus Allen 2 yard rush (Jeff Jaeger kick),10,0
2,2.0,Dolphins,Scott Schwedes 14 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,3.0,Raiders,Jeff Jaeger 43 yard field goal,13,7
4,4.0,Dolphins,Pete Stoyanovich 26 yard field goal,13,10
