,Quarter,Time,Tm,Detail,SEA,SDG
0,2.0,4:13,Seahawks,Todd Peterson 40 yard field goal,3,0
1,2.0,0:42,Chargers,Natrone Means 5 yard rush (John Carney kick),3,7
2,3.0,8:28,Seahawks,Itula Mili 1 yard pass from Jon Kitna (Todd Peterson kick),10,7
3,4.0,2:54,Chargers,John Carney 28 yard field goal,10,10
4,4.0,0:00,Chargers,John Carney 41 yard field goal,10,13
