,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,8:29,Raiders,Joe Nedney 52 yard field goal,3,0
1,1.0,6:16,Raiders,Zack Crockett 1 yard rush (Joe Nedney kick),10,0
2,2.0,7:58,Chargers,John Carney 48 yard field goal,10,3
3,2.0,1:53,Chargers,Fred McCrary 18 yard pass from Jim Harbaugh (John Carney kick),10,10
4,2.0,0:00,Chargers,John Carney 19 yard field goal,10,13
5,3.0,11:22,Raiders,Rickey Dudley 7 yard pass from Rich Gannon (Joe Nedney kick),17,13
6,3.0,0:26,Raiders,Joe Nedney 25 yard field goal,20,13
7,4.0,13:18,Chargers,Jeff Graham 10 yard pass from Jim Harbaugh (John Carney kick),20,20
8,4.0,8:09,Chargers,John Carney 37 yard field goal,20,23
