,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Nick Lowery 30 yard field goal,0,3
1,1.0,Broncos,Rich Karlis 26 yard field goal,3,3
2,2.0,Chiefs,Stephone Paige 9 yard pass from Todd Blackledge (Nick Lowery kick),3,10
3,2.0,Broncos,Sammy Winder 2 yard pass from John Elway (Rich Karlis kick),10,10
4,3.0,Chiefs,Jeff Smith 17 yard pass from Todd Blackledge (Nick Lowery kick),10,17
5,4.0,Chiefs,Boyce Green 1 yard rush (Nick Lowery kick),10,24
6,4.0,Chiefs,Nick Lowery 45 yard field goal,10,27
7,4.0,Chiefs,Nick Lowery 44 yard field goal,10,30
8,4.0,Chiefs,Lloyd Burruss 72 yard interception return (Nick Lowery kick),10,37
