,Quarter,Tm,Detail,PIT,CLE
0,2.0,Steelers,Sam Washington 69 yard interception return (Gary Anderson kick),7,0
1,3.0,Browns,Matt Bahr 18 yard field goal,7,3
2,3.0,Browns,Boyce Green 44 yard pass from Paul McDonald (Matt Bahr kick),7,10
3,3.0,Steelers,Gary Anderson 46 yard field goal,10,10
4,4.0,Browns,Duriel Harris 3 yard pass from Paul McDonald (Matt Bahr kick),10,17
5,4.0,Browns,Matt Bahr 48 yard field goal,10,20
