,Quarter,Tm,Detail,WAS,NOR
0,1.0,Redskins,George Rogers 4 yard rush (Mark Moseley kick),7,0
1,1.0,Saints,Morten Andersen 34 yard field goal,7,3
2,2.0,Saints,Morten Andersen 45 yard field goal,7,6
3,2.0,Redskins,Art Monk 2 yard pass from Jay Schroeder (Mark Moseley kick),14,6
