,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Don Kindt 1 yard rush (Ray McLean kick),0,7
1,1.0,Bears,Ken Kavanaugh 34 yard pass from Sid Luckman (Ray McLean kick),0,14
2,2.0,Rams,Dante Magnani 40 yard pass from Bob Waterfield (Bob Waterfield kick),7,14
3,2.0,Rams,Bob Waterfield 18 yard field goal,10,14
4,4.0,Rams,Red Hickey 20 yard pass from Bob Waterfield (Bob Waterfield kick),17,14
