,Quarter,Time,Tm,Detail,BAL,MIA
0,1,9:28,Ravens,Matt Stover 27 yard field goal,3,0
1,2,10:02,Ravens,Matt Stover 39 yard field goal,6,0
2,2,3:17,Dolphins,Jay Feely 23 yard field goal,6,3
3,2,0:47,Ravens,Derrick Mason 17 yard pass from Kyle Boller (Matt Stover kick),13,3
4,3,6:51,Dolphins,Samkon Gado 7 yard rush (Jay Feely kick),13,10
5,4,12:06,Dolphins,Jay Feely 22 yard field goal,13,13
6,4,1:56,Dolphins,Jay Feely 29 yard field goal,13,16
7,4,0:08,Ravens,Matt Stover 18 yard field goal,16,16
8,OT,8:14,Dolphins,Greg Camarillo 64 yard pass from Cleo Lemon,16,22
