,Quarter,Tm,Detail,CIN,HOU
0,2.0,Oilers,Mark Moseley 42 yard field goal,0,3
1,2.0,Bengals,Horst Muhlmann 46 yard field goal,3,3
2,3.0,Oilers,Ken Houston 48 yard interception return (Mark Moseley kick),3,10
3,4.0,Bengals,Horst Muhlmann 45 yard field goal,6,10
