,Quarter,Tm,Detail,SFO,WAS
0,1.0,49ers,Ricky Patton 16 yard rush (Matt Bahr kick),7,0
1,1.0,49ers,Dwight Hicks 80 yard defensive fumble return (Matt Bahr kick),14,0
2,2.0,49ers,Matt Bahr 43 yard field goal,17,0
3,2.0,Redskins,Mark Moseley 34 yard field goal,17,3
4,2.0,49ers,Johnny Davis 1 yard rush (Matt Bahr kick),24,3
5,3.0,49ers,Dwight Hicks 32 yard interception return,30,3
6,4.0,Redskins,Mike Nelms 58 yard punt return (Mark Moseley kick),30,10
7,4.0,Redskins,Joe Washington 5 yard rush (Mark Moseley kick),30,17
