,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,11:56,Lions,Aveion Cason 23 yard pass from Mike McMahon (Jason Hanson kick),0,7
1,1.0,3:53,Vikings,Daunte Culpepper 2 yard rush (Gary Anderson kick),7,7
2,1.0,3:00,Vikings,Corey Chavous 43 yard interception return (Gary Anderson kick),14,7
3,1.0,0:08,Lions,Bill Schroeder 16 yard pass from Mike McMahon (Jason Hanson kick),14,14
4,2.0,11:49,Vikings,Michael Bennett 2 yard rush (Gary Anderson kick),21,14
5,2.0,5:54,Vikings,Kelly Campbell 10 yard pass from Daunte Culpepper (Gary Anderson kick),28,14
6,2.0,1:50,Lions,Jason Hanson 37 yard field goal,28,17
7,3.0,5:41,Lions,Robert Porcher defensive fumble recovery in end zone (Jason Hanson kick),28,24
8,3.0,0:58,Vikings,Kelly Campbell 27 yard pass from Daunte Culpepper (Gary Anderson kick),35,24
9,4.0,10:56,Lions,Todd Lyght 75 yard blocked field goal return (pass failed),35,30
10,4.0,1:09,Vikings,Gary Anderson 18 yard field goal,38,30
11,4.0,0:13,Lions,Scotty Anderson 20 yard pass from Mike McMahon (pass failed),38,36
