,Quarter,Tm,Detail,OAK,BUF
0,2.0,Bills,J.D. Hill 4 yard pass from Joe Ferguson (John Leypoldt kick),0,7
1,2.0,Raiders,George Blanda 34 yard field goal,3,7
2,3.0,Raiders,Clarence Davis 15 yard rush (George Blanda kick),10,7
3,4.0,Raiders,George Blanda 41 yard field goal,13,7
4,4.0,Bills,Ahmad Rashad 8 yard pass from Joe Ferguson (John Leypoldt kick),13,14
5,4.0,Raiders,Art Thoms 29 yard defensive fumble return (George Blanda kick),20,14
6,4.0,Bills,Ahmad Rashad 13 yard pass from Joe Ferguson (John Leypoldt kick),20,21
