,Quarter,Tm,Detail,IND,SDG
0,1,Colts,Dean Biasucci 20 yard field goal,3,0
1,2,Colts,Dean Biasucci 44 yard field goal,6,0
2,3,Colts,Dean Biasucci 51 yard field goal,9,0
3,4,Colts,Matt Bouza 25 yard pass from Gary Hogeboom (Dean Biasucci kick),16,0
