,Quarter,Time,Tm,Detail,NWE,CAR
0,2.0,3:05,Patriots,Deion Branch 5 yard pass from Tom Brady (Adam Vinatieri kick),7,0
1,2.0,1:07,Panthers,Steve Smith 39 yard pass from Jake Delhomme (John Kasay kick),7,7
2,2.0,0:18,Patriots,David Givens 5 yard pass from Tom Brady (Adam Vinatieri kick),14,7
3,2.0,0:00,Panthers,John Kasay 50 yard field goal,14,10
4,4.0,14:49,Patriots,Antowain Smith 2 yard rush (Adam Vinatieri kick),21,10
5,4.0,12:39,Panthers,DeShaun Foster 33 yard rush (pass failed),21,16
6,4.0,6:53,Panthers,Muhsin Muhammad 85 yard pass from Jake Delhomme (pass failed),21,22
7,4.0,2:51,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Kevin Faulk run),29,22
8,4.0,1:08,Panthers,Ricky Proehl 12 yard pass from Jake Delhomme (John Kasay kick),29,29
9,4.0,0:04,Patriots,Adam Vinatieri 41 yard field goal,32,29
