,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Mark Moseley 32 yard field goal,3,0
1,2.0,Redskins,Mark Moseley 30 yard field goal,6,0
2,3.0,Redskins,Mark Moseley 20 yard field goal,9,0
3,4.0,Redskins,Mark Moseley 24 yard field goal,12,0
4,4.0,Cardinals,Greg LaFleur 5 yard pass from Jim Hart (Neil O'Donoghue kick),12,7
