,Quarter,Time,Tm,Detail,MIA,SDG
0,1.0,,Chargers,John Carney 33 yard field goal,0,3
1,1.0,,Dolphins,Irving Fryar 23 yard pass from Dan Marino (Pete Stoyanovich kick),7,3
2,3.0,,Chargers,John Carney 39 yard field goal,7,6
3,3.0,,Dolphins,Terry Kirby 5 yard pass from Dan Marino (Pete Stoyanovich kick),14,6
4,3.0,,Chargers,Tony Martin 50 yard pass from Stan Humphries (Mark Seay pass from Stan Humphries),14,14
5,4.0,,Dolphins,Pete Stoyanovich 36 yard field goal,17,14
6,4.0,,Dolphins,Keith Byars 1 yard rush (Pete Stoyanovich kick),24,14
