,Quarter,Tm,Detail,WAS,DET
0,1.0,Redskins,Charlie Harraway 4 yard pass from Billy Kilmer (Curt Knight kick),7,0
1,1.0,Redskins,Curt Knight 25 yard field goal,10,0
2,2.0,Redskins,Curt Knight 23 yard field goal,13,0
3,3.0,Redskins,Charley Taylor 3 yard pass from Billy Kilmer (Curt Knight kick),20,0
