,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Dwight Clark 21 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,49ers,Dwight Clark 12 yard pass from Joe Montana (Ray Wersching kick),0,14
2,2.0,Falcons,Billy Johnson 20 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,14
3,3.0,Falcons,Floyd Hodge 76 yard pass from Steve Bartkowski,13,14
4,3.0,49ers,Ray Wersching 24 yard field goal,13,17
5,4.0,Falcons,Steve Bartkowski 3 yard rush (Mick Luckhurst kick),20,17
6,4.0,49ers,Earl Cooper 1 yard pass from Joe Montana (Ray Wersching kick),20,24
