,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),7,0
1,1.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),14,0
2,2.0,Rams,Walt Arnold 14 yard pass from Vince Ferragamo (Frank Corral kick),21,0
3,3.0,Rams,Elvis Peacock 4 yard rush (Frank Corral kick),28,0
4,4.0,Giants,Johnny Perkins 19 yard pass from Scott Brunner (Joe Danelo kick),28,7
