,Quarter,Tm,Detail,ATL,RAM
0,1.0,Falcons,Lynn Cain 2 yard rush (Mick Luckhurst kick),7,0
1,2.0,Rams,Wendell Tyler 6 yard rush (Frank Corral kick),7,7
2,2.0,Falcons,Mick Luckhurst 45 yard field goal,10,7
3,2.0,Rams,Mike Guman 3 yard rush (Frank Corral kick),10,14
4,3.0,Falcons,Mick Luckhurst 25 yard field goal,13,14
5,4.0,Falcons,Mick Luckhurst 22 yard field goal,16,14
6,4.0,Rams,Wendell Tyler 7 yard rush (Frank Corral kick),16,21
