,Quarter,Tm,Detail,STL,MIN
0,1.0,Cardinals,Jim Bakken 39 yard field goal,3,0
1,1.0,Vikings,Dale Hackbart 21 yard interception return (Fred Cox kick),3,7
2,2.0,Vikings,Bill Brown 2 yard rush (Fred Cox kick),3,14
3,2.0,Cardinals,Billy Gambrell 5 yard pass from Jim Hart (Jim Bakken kick),10,14
4,2.0,Vikings,Fred Cox 40 yard field goal,10,17
5,3.0,Cardinals,Jim Bakken 17 yard field goal,13,17
6,4.0,Vikings,Gene Washington 85 yard pass from Joe Kapp (Fred Cox kick),13,24
7,4.0,Cardinals,Dave Williams 40 yard pass from Jim Hart (Jim Bakken kick),20,24
8,4.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),27,24
9,4.0,Cardinals,Johnny Roland 14 yard rush (Jim Bakken kick),34,24
