,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,,Packers,Ryan Longwell 38 yard field goal,0,3
1,2.0,,Bears,Raymont Harris 1 yard rush (Jim Flanigan pass from Todd Sauerbrun),8,3
2,2.0,5:56,Packers,Jeff Thomason 1 yard pass from Brett Favre (Dorsey Levens pass from Brett Favre ),8,11
3,2.0,5:56,Bears,Jeff Jaeger 42 yard field goal,11,11
4,2.0,5:56,Packers,Robert Brooks 18 yard pass from Brett Favre (Ryan Longwell kick),11,18
5,3.0,5:56,Packers,Ryan Longwell 36 yard field goal,11,21
6,3.0,5:56,Packers,Ryan Longwell 29 yard field goal,11,24
7,4.0,5:56,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),11,31
8,4.0,5:56,Bears,Ricky Proehl 22 yard pass from Erik Kramer (pass failed),17,31
9,4.0,2:43,Packers,Gabe Wilkins 1 yard defensive fumble return (Ryan Longwell kick),17,38
10,4.0,2:43,Bears,Raymont Harris 68 yard rush (Jeff Jaeger kick),24,38
