,Quarter,Tm,Detail,CIN,PIT
0,2.0,Steelers,David Trout 48 yard field goal,0,3
1,2.0,Bengals,Jim Breech 38 yard field goal,3,3
2,2.0,Bengals,Isaac Curtis 2 yard pass from Ken Anderson (Jim Breech kick),10,3
3,3.0,Bengals,Steve Kreider 22 yard pass from Ken Anderson (Jim Breech kick),17,3
4,4.0,Steelers,Franco Harris 2 yard pass from Mark Malone (David Trout kick),17,10
