,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Bob Gresham 103 yard kickoff return (Skip Butler kick),7,0
1,2.0,Bengals,Essex Johnson 11 yard rush (Horst Muhlmann kick),7,7
2,2.0,Bengals,Horst Muhlmann 27 yard field goal,7,10
3,3.0,Oilers,Skip Butler 38 yard field goal,10,10
4,4.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),10,17
5,4.0,Bengals,Bob Trumpy 35 yard pass from Ken Anderson (Horst Muhlmann kick),10,24
