,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,11:21,Vikings,Blair Walsh 50 yard field goal,3,0
1,1.0,3:16,Vikings,Rhett Ellison 7 yard pass from Teddy Bridgewater (Blair Walsh kick),10,0
2,2.0,13:06,Bears,Alshon Jeffery 27 yard pass from Jay Cutler (Robbie Gould kick),10,7
3,2.0,2:49,Bears,Brandon Marshall 44 yard pass from Jay Cutler (Robbie Gould kick),10,14
4,4.0,8:51,Bears,Brandon Marshall 4 yard pass from Jay Cutler (Robbie Gould kick),10,21
5,4.0,4:04,Vikings,Blair Walsh 26 yard field goal,13,21
