,Quarter,Tm,Detail,OAK,MIA
0,1.0,Dolphins,Larry Csonka 11 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),0,14
2,3.0,Raiders,George Blanda 21 yard field goal,3,14
3,3.0,Dolphins,Garo Yepremian 42 yard field goal,3,17
4,3.0,Raiders,Mike Siani 25 yard pass from Ken Stabler (George Blanda kick),10,17
5,4.0,Dolphins,Garo Yepremian 27 yard field goal,10,20
6,4.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),10,27
