,Quarter,Tm,Detail,CRD,CLE
0,1.0,Browns,Bobby Mitchell 15 yard pass from Milt Plum (Lou Groza kick),0,7
1,1.0,Browns,Bernie Parrish 37 yard interception return (Lou Groza kick),0,14
2,3.0,Browns,Lou Groza 18 yard field goal,0,17
3,3.0,Cardinals,Woodley Lewis 62 yard pass from John Roach (Bobby Joe Conrad kick),7,17
