,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,10:51,Jaguars,Ernest Wilford 11 yard pass from David Garrard (Josh Scobee kick),0,7
1,1.0,3:54,Jaguars,George Wrighster 14 yard pass from David Garrard (Josh Scobee kick),0,14
2,2.0,14:03,Jaguars,Josh Scobee 47 yard field goal,0,17
3,2.0,9:10,Jaguars,Josh Scobee 21 yard field goal,0,20
4,3.0,11:59,Jaguars,Ernest Wilford 22 yard pass from David Garrard (Josh Scobee kick),0,27
5,3.0,9:34,Jaguars,Scott Starks 55 yard interception return (Josh Scobee kick),0,34
6,3.0,2:35,Jaguars,Josh Scobee 39 yard field goal,0,37
7,4.0,2:40,Titans,Drew Bennett 32 yard pass from Vince Young (Rob Bironas kick),7,37
