,Quarter,Time,Tm,Detail,PHI,BUF
0,1.0,9:41,Bills,Steve Christie 24 yard field goal,0,3
1,1.0,3:53,Bills,Steve Christie 29 yard field goal,0,6
2,1.0,1:27,Bills,Steve Christie 19 yard field goal,0,9
3,2.0,1:54,Bills,Jay Riemersma 15 yard pass from Doug Flutie (Steve Christie kick),0,16
4,2.0,0:00,Bills,Steve Christie 36 yard field goal,0,19
5,3.0,4:46,Bills,Antowain Smith 4 yard rush (Steve Christie kick),0,26
