,Quarter,Time,Tm,Detail,WAS,DAL
0,2.0,0:21,Cowboys,Tim Seder 28 yard field goal,0,3
1,4.0,12:16,Redskins,Michael Westbrook 31 yard pass from Tony Banks (Brett Conway kick),7,3
2,4.0,6:32,Cowboys,Tim Seder 39 yard field goal,7,6
3,4.0,0:00,Cowboys,Tim Seder 26 yard field goal,7,9
