,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Dick Todd 16 yard pass from Sammy Baugh (Dick Poillon kick),7,0
1,2.0,Bears,Frank Maznicki 13 yard field goal,7,3
2,2.0,Redskins,Dick Poillon 14 yard field goal,10,3
3,2.0,Bears,Joe Osmanski 4 yard rush (Frank Maznicki kick),10,10
4,2.0,Bears,Stu Clarkson 60 yard interception return (Frank Maznicki kick),10,17
5,3.0,Redskins,Jim Peebles 32 yard pass from Sammy Baugh (Dick Poillon kick),17,17
6,4.0,Redskins,Dick Poillon 16 yard field goal,20,17
7,4.0,Bears,Jim Keane 42 yard pass from Sid Luckman (Frank Maznicki kick),20,24
