,Quarter,Time,Tm,Detail,ATL,NYG
0,2.0,14:49,Falcons,Doug Johnson 15 yard rush (Jay Feely kick),7,0
1,2.0,4:31,Giants,Matt Bryant 38 yard field goal,7,3
2,2.0,0:30,Falcons,Jay Feely 31 yard field goal,10,3
3,3.0,8:10,Giants,Ike Hilliard 18 yard pass from Kerry Collins (Matt Bryant kick),10,10
4,4.0,8:06,Falcons,Brian Finneran 14 yard pass from Doug Johnson (Jay Feely kick),17,10
