,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Harold Jackson 14 yard pass from Norm Snead (Sam Baker kick),0,7
1,1.0,Cowboys,Lance Rentzel offensive fumble recovery in end zone (Mike Clark kick),7,7
2,2.0,Cowboys,Calvin Hill 53 yard rush (Mike Clark kick),14,7
3,2.0,Cowboys,Lance Rentzel 42 yard pass from Craig Morton (Mike Clark kick),21,7
4,2.0,Cowboys,Dan Reeves 27 yard pass from Craig Morton (Mike Clark kick),28,7
5,3.0,Cowboys,Mike Ditka 3 yard pass from Craig Morton (Mike Clark kick),35,7
6,4.0,Cowboys,Mike Clark 14 yard field goal,38,7
