,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,J.T. Smith 28 yard pass from Steve Fuller (Jan Stenerud kick),0,7
1,1.0,Chiefs,Ted McKnight 5 yard rush (Jan Stenerud kick),0,14
2,2.0,Chiefs,Earl Gant 2 yard rush (Jan Stenerud kick),0,21
3,2.0,Chiefs,Jan Stenerud 27 yard field goal,0,24
4,3.0,Chiefs,Jan Stenerud 31 yard field goal,0,27
5,3.0,Seahawks,Jeff Moore 1 yard rush (Efren Herrera kick),7,27
6,3.0,Chiefs,Jan Stenerud 22 yard field goal,7,30
7,4.0,Chiefs,Ted McKnight 3 yard rush (Jan Stenerud kick),7,37
8,4.0,Seahawks,Dan Doornink 1 yard rush (Efren Herrera kick),14,37
9,4.0,Seahawks,Jeff Moore 12 yard rush (Efren Herrera kick),21,37
