,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Bob Thomas 48 yard field goal,0,3
1,1.0,Bears,Bob Thomas 46 yard field goal,0,6
2,2.0,Saints,Wayne Wilson 15 yard pass from Richard Todd (Morten Andersen kick),7,6
3,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,13
4,4.0,Bears,Dennis McKinnon 16 yard pass from Jim McMahon (Bob Thomas kick),7,20
