,Quarter,Tm,Detail,PIT,CRD
0,2.0,Steelers,Lynn Chandnois 28 yard pass from Jim Finks (Gary Kerkorian kick),7,0
1,2.0,Steelers,Ray Mathews 70 yard punt return,13,0
2,2.0,Steelers,Elbie Nickel 5 yard pass from Jim Finks (Gary Kerkorian kick),20,0
3,3.0,Steelers,George Sulima 13 yard pass from Jim Finks (Gary Kerkorian kick),27,0
4,3.0,Cardinals,Ollie Matson 33 yard pass from Don Panciera (Joe Geri kick),27,7
5,4.0,Steelers,Lou Ferry 71 yard fumble return (Gary Kerkorian kick),34,7
6,4.0,Cardinals,Ollie Matson 41 yard pass from Don Panciera (Joe Geri kick),34,14
7,4.0,Cardinals,Ollie Matson 47 yard pass from Don Panciera (Joe Geri kick),34,21
8,4.0,Cardinals,Billy Cross 4 yard rush (Joe Geri kick),34,28
