,Quarter,Tm,Detail,LAB,BRL
0,2.0,Buccaneers,Tut Imlay 15 yard rush (Don Newmeyer kick),7,0
1,3.0,Buccaneers,Tut Imlay 2 yard rush (Don Newmeyer kick),14,0
2,3.0,Buccaneers,Don Thompson 20 yard fumble return,20,0
