,Quarter,Time,Tm,Detail,STL,PHI
0,1.0,9:42,Rams,Marshall Faulk 8 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,1.0,7:27,Eagles,David Akers 46 yard field goal,7,3
2,2.0,11:57,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,3
3,2.0,10:14,Eagles,Torrance Small 63 yard pass from Donovan McNabb (Norm Johnson kick),14,10
4,2.0,6:20,Rams,Jeff Wilkins 47 yard field goal,17,10
5,2.0,0:32,Eagles,Duce Staley 3 yard pass from Donovan McNabb (Norm Johnson kick),17,17
6,3.0,12:15,Eagles,Mike Mamula 41 yard interception return (Norm Johnson kick),17,24
7,3.0,9:22,Rams,Torry Holt 15 yard pass from Kurt Warner (Jeff Wilkins kick),24,24
8,4.0,10:55,Eagles,Chad Lewis 5 yard pass from Donovan McNabb (Norm Johnson kick),24,31
9,4.0,1:16,Eagles,Al Harris 17 yard interception return (Norm Johnson kick),24,38
10,4.0,0:59,Rams,Torry Holt 63 yard pass from Joe Germaine (Jeff Wilkins kick),31,38
