,Quarter,Tm,Detail,NYJ,IND
0,1.0,Jets,Pat Leahy 34 yard field goal,3,0
1,2.0,Jets,Tony Paige 3 yard rush (Pat Leahy kick),10,0
2,2.0,Jets,Pat Leahy 48 yard field goal,13,0
3,4.0,Jets,Pat Leahy 47 yard field goal,16,0
4,4.0,Jets,Kurt Sohn 17 yard pass from Ken O'Brien (Pat Leahy kick),23,0
5,4.0,Jets,Pat Leahy 24 yard field goal,26,0
6,4.0,Colts,Bill Brooks 3 yard pass from Jack Trudeau (Dean Biasucci kick),26,7
