,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Rickey Young 5 yard rush (Ray Wersching kick),7,0
1,1.0,Chiefs,Jan Stenerud 21 yard field goal,7,3
2,2.0,Chiefs,Jan Stenerud 22 yard field goal,7,6
3,3.0,Chargers,Sam Scarber 8 yard rush (Ray Wersching kick),14,6
4,3.0,Chiefs,Woody Green 1 yard rush (Jan Stenerud kick),14,13
5,3.0,Chiefs,Barry Pearson 17 yard pass from Len Dawson (Jan Stenerud kick),14,20
6,4.0,Chargers,Rickey Young 3 yard rush (Ray Wersching kick),21,20
7,4.0,Chargers,Dan Fouts 9 yard rush (Ray Wersching kick),28,20
