,Quarter,Tm,Detail,MIN,NOR
0,1.0,Saints,Eric Martin 10 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,Vikings,Chuck Nelson 42 yard field goal,3,7
2,1.0,Vikings,Anthony Carter 84 yard punt return (Chuck Nelson kick),10,7
3,2.0,Vikings,Steve Jordan 5 yard pass from Wade Wilson (Chuck Nelson kick),17,7
4,2.0,Vikings,Anthony Carter 10 yard pass from Allen Rice (Chuck Nelson kick),24,7
5,2.0,Saints,Morten Andersen 40 yard field goal,24,10
6,2.0,Vikings,Hassan Jones 44 yard pass from Wade Wilson (Chuck Nelson kick),31,10
7,3.0,Vikings,Chuck Nelson 32 yard field goal,34,10
8,4.0,Vikings,Chuck Nelson 19 yard field goal,37,10
9,4.0,Vikings,D.J. Dozier 8 yard rush (Chuck Nelson kick),44,10
