,Quarter,Tm,Detail,KAN,OAK
0,1.0,Chiefs,Horace Belton 3 yard rush (Jan Stenerud kick),7,0
1,2.0,Chiefs,Jan Stenerud 41 yard field goal,10,0
2,2.0,Raiders,Mark van Eeghen 2 yard pass from Ken Stabler (Jim Breech kick),10,7
3,3.0,Chiefs,Tony Samuels offensive fumble recovery in end zone (Jan Stenerud kick),17,7
4,3.0,Chiefs,Henry Marshall 23 yard rush (Jan Stenerud kick),24,7
5,3.0,Raiders,Derrick Ramsey 16 yard pass from Ken Stabler (Jim Breech kick),24,14
6,4.0,Raiders,Cliff Branch 3 yard pass from Ken Stabler (Jim Breech kick),24,21
