,Quarter,Tm,Detail,NOR,GNB
0,1.0,Saints,Tony Galbreath 23 yard field goal,3,0
1,2.0,Saints,Tony Galbreath 27 yard field goal,6,0
2,2.0,Saints,Henry Childs 33 yard pass from Archie Manning,12,0
3,3.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),12,7
4,3.0,Packers,David Whitehurst 2 yard rush (Chester Marcol kick),12,14
5,3.0,Packers,Steve Atkins 3 yard rush (Chester Marcol kick),12,21
6,4.0,Saints,Mike Strachan 1 yard rush (Tony Galbreath kick),19,21
7,4.0,Packers,Eric Torkelson 3 yard rush (Chester Marcol kick),19,28
