,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Jim Mitchell 46 yard pass from Bob Berry,6,0
1,1.0,Falcons,John Mallory 17 yard defensive fumble return (Ken Vinyard kick),13,0
2,2.0,49ers,Gene Washington 35 yard pass from John Brodie (Bruce Gossett kick),13,7
3,3.0,Falcons,Jim Mitchell 12 yard pass from Bob Berry (Ken Vinyard kick),20,7
4,3.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),20,14
5,4.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),20,21
6,4.0,49ers,Bruce Gossett 23 yard field goal,20,24
