,Quarter,Tm,Detail,SDG,MIA
0,1,Dolphins,Terry Robiskie 6 yard rush (Uwe von Schamann kick),0,7
1,1,Chargers,Clarence Williams 4 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,2,Chargers,Rolf Benirschke 37 yard field goal,10,7
3,2,Dolphins,Tony Nathan 7 yard pass from David Woodley (Uwe von Schamann kick),10,14
4,2,Chargers,Charlie Joiner 7 yard pass from Dan Fouts (Rolf Benirschke kick),17,14
5,2,Dolphins,Uwe von Schamann 48 yard field goal,17,17
6,3,Chargers,John Jefferson 6 yard pass from Dan Fouts (Rolf Benirschke kick),24,17
7,4,Dolphins,Delvin Williams 1 yard rush (Uwe von Schamann kick),24,24
8,OT,Chargers,Rolf Benirschke 28 yard field goal,27,24
