,Quarter,Tm,Detail,GNB,FRN
0,1.0,Packers,Johnny Blood 41 yard pass from Red Dunn,6,0
1,2.0,Packers,Johnny Blood 30 yard pass from Red Dunn,12,0
2,3.0,Yellow Jackets,Kelly Rodriguez 5 yard pass from Art Pharmer (Art Pharmer kick),12,7
3,4.0,Packers,Herdis McCrary 33 yard rush (Red Dunn kick),19,7
4,4.0,Packers,Arnie Herber 15 yard pass from Red Dunn,25,7
