,Quarter,Time,Tm,Detail,ATL,NWE
0,1.0,9:21,Falcons,Jason Elam 26 yard field goal,3,0
1,1.0,0:42,Patriots,Stephen Gostkowski 21 yard field goal,3,3
2,2.0,11:41,Patriots,Fred Taylor 8 yard rush (Stephen Gostkowski kick),3,10
3,2.0,8:43,Falcons,Michael Turner 2 yard rush (Jason Elam kick),10,10
4,2.0,0:20,Patriots,Stephen Gostkowski 33 yard field goal,10,13
5,3.0,9:01,Patriots,Stephen Gostkowski 22 yard field goal,10,16
6,4.0,14:55,Patriots,Stephen Gostkowski 33 yard field goal,10,19
7,4.0,7:47,Patriots,Chris Baker 36 yard pass from Tom Brady (Stephen Gostkowski kick),10,26
