,Quarter,Tm,Detail,RAM,CIN
0,1.0,Bengals,Jim Breech 37 yard field goal,0,3
1,1.0,Bengals,Pete Johnson 3 yard pass from Ken Anderson (Jim Breech kick),0,10
2,2.0,Rams,Frank Corral 22 yard field goal,3,10
3,4.0,Bengals,Pete Johnson 3 yard rush (Jim Breech kick),3,17
4,4.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),3,24
5,4.0,Rams,Wendell Tyler 10 yard pass from Pat Haden (Frank Corral kick),10,24
