,Quarter,Time,Tm,Detail,ATL,IND
0,1.0,9:36,Colts,Adam Vinatieri 49 yard field goal,0,3
1,1.0,1:31,Colts,Zach Pascal 18 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,10
2,2.0,5:54,Colts,Adam Vinatieri 21 yard field goal,0,13
3,2.0,2:24,Falcons,Matt Bryant 34 yard field goal,3,13
4,2.0,0:13,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),3,20
5,3.0,10:37,Falcons,Austin Hooper 13 yard pass from Matt Ryan (Matt Bryant kick),10,20
6,4.0,13:56,Falcons,Austin Hooper 2 yard pass from Matt Ryan (Matt Bryant kick),17,20
7,4.0,8:47,Colts,Marlon Mack 4 yard rush (Adam Vinatieri kick),17,27
8,4.0,4:17,Falcons,Julio Jones 10 yard pass from Matt Ryan (Matt Bryant kick),24,27
