,Quarter,Tm,Detail,FRN,HRT
0,2.0,Yellow Jackets,Ben Jones 3 yard rush (Johnny Budd kick),7,0
1,2.0,Yellow Jackets,Johnny Budd 10 yard field goal,10,0
