,Quarter,Time,Tm,Detail,CIN,NWE
0,1.0,1:57,Patriots,Tony Carter 1 yard rush (Adam Vinatieri kick),0,7
1,2.0,6:00,Bengals,Peter Warrick 13 yard pass from Scott Mitchell (Neil Rackers kick),7,7
2,2.0,1:59,Patriots,Adam Vinatieri 38 yard field goal,7,10
3,2.0,0:00,Bengals,Neil Rackers 28 yard field goal,10,10
4,3.0,6:42,Bengals,Neil Rackers 45 yard field goal,13,10
5,4.0,14:57,Patriots,Adam Vinatieri 21 yard field goal,13,13
6,4.0,0:03,Patriots,Adam Vinatieri 22 yard field goal,13,16
